location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Wood, Ohio",Deaths (per 100k),3.82,0.44,0.11,3.11,3,3,6,-1
"Livingston, Michigan",Deaths (per 100k),3.65,0.30,0.08,3.98,3,3,6,2
"Delaware, Indiana",Deaths (per 100k),3.50,0.25,0.07,3.80,3,3,6,2
"Sandusky, Ohio",Deaths (per 100k),3.42,0.49,0.14,3.45,3,3,6,-1
"Clare, Michigan",Deaths (per 100k),3.23,0.46,0.14,3.11,3,3,6,-2
"Benton, Oregon",Deaths (per 100k),3.22,0.31,0.10,3.80,3,3,6,2
"Galveston, Texas",Deaths (per 100k),3.22,0.33,0.10,3.98,3,3,6,0
"Effingham, Illinois",Deaths (per 100k),2.94,0.42,0.14,3.11,3,3,6,-2
"Harris, Georgia",Deaths (per 100k),2.84,0.41,0.14,3.11,3,3,6,-2
"Rock Island, Illinois",Deaths (per 100k),2.82,0.30,0.11,3.11,3,3,6,-2
"Sagadahoc, Maine",Deaths (per 100k),2.79,0.40,0.14,3.11,3,3,6,-2
"Chippewa, Michigan",Deaths (per 100k),2.68,0.38,0.14,3.11,3,3,6,-2
"Lowndes, Georgia",Deaths (per 100k),2.56,0.24,0.10,3.80,3,3,6,2
"Martin, Florida",Deaths (per 100k),2.48,0.27,0.11,3.11,3,3,6,-2
"Tazewell, Illinois",Deaths (per 100k),2.28,0.33,0.14,3.34,3,3,6,-1
"Calhoun, Michigan",Deaths (per 100k),2.24,0.21,0.10,3.11,3,3,6,6
"Schuylkill, Pennsylvania",Deaths (per 100k),2.12,0.20,0.10,3.11,3,3,6,-2
"Laurens, Georgia",Deaths (per 100k),2.10,0.30,0.14,3.11,3,3,6,-2
"Forsyth, Georgia",Deaths (per 100k),2.05,0.23,0.11,3.80,3,3,6,1
"Grant, Wisconsin",Deaths (per 100k),1.94,0.28,0.14,3.11,3,3,6,-2
"Edgecombe, North Carolina",Deaths (per 100k),1.94,0.28,0.14,3.11,3,3,6,-2
"Dauphin, Pennsylvania",Deaths (per 100k),1.80,0.21,0.11,3.45,3,3,6,1
"Aiken, South Carolina",Deaths (per 100k),1.76,0.17,0.10,2.76,2,4,6,6
"Garfield, Oklahoma",Deaths (per 100k),1.64,0.23,0.14,3.11,3,3,6,-2
"Orange, North Carolina",Deaths (per 100k),1.35,0.19,0.14,2.76,2,4,6,-1
"Hancock, Ohio",Deaths (per 100k),1.32,0.19,0.14,2.41,2,4,6,-1
"Yuba, California",Deaths (per 100k),1.27,0.18,0.14,2.41,2,4,6,-1
"Bulloch, Georgia",Deaths (per 100k),1.26,0.18,0.14,2.41,2,4,6,-1
"Porter, Indiana",Deaths (per 100k),1.17,0.17,0.14,2.06,2,4,6,-1
"Iredell, North Carolina",Deaths (per 100k),1.10,0.16,0.14,2.41,2,4,6,1
"Brevard, Florida",Deaths (per 100k),1.00,0.14,0.14,2.41,2,4,6,-1
"Stanislaus, California",Deaths (per 100k),0.73,0.05,0.07,2.06,2,4,6,-1
"Wright, Minnesota",Deaths (per 100k),0.72,0.10,0.14,2.41,2,4,6,-1
"Washington, Maryland",Deaths (per 100k),0.66,0.09,0.14,2.41,2,4,6,-1
"Dorchester, South Carolina",Deaths (per 100k),0.61,0.09,0.14,2.41,2,4,6,-1
"Cumberland, North Carolina",Deaths (per 100k),0.60,0.09,0.14,2.41,2,4,6,2
"Harford, Maryland",Deaths (per 100k),0.39,0.06,0.14,2.41,2,4,6,-1
"St. John the Baptist, Louisiana",Deaths (per 100k),112.05,4.67,0.04,13.07,4,1,5,-1
"Randolph, Georgia",Deaths (per 100k),103.28,4.22,0.04,11.78,4,1,5,-3
"Dougherty, Georgia",Deaths (per 100k),94.37,4.22,0.04,12.61,4,1,5,-2
"Orleans, Louisiana",Deaths (per 100k),73.56,3.33,0.05,12.17,4,1,5,1
"Jefferson, Louisiana",Deaths (per 100k),57.11,2.41,0.04,11.11,4,1,5,0
"Wayne, Michigan",Deaths (per 100k),50.53,3.41,0.07,7.10,4,1,5,-1
"Decatur, Indiana",Deaths (per 100k),48.95,2.15,0.04,10.05,4,1,5,-1
"Plaquemines, Louisiana",Deaths (per 100k),47.42,2.46,0.05,11.26,4,1,5,0
"Orange, New York",Deaths (per 100k),46.24,3.15,0.07,7.50,4,1,5,-1
"Franklin, Massachusetts",Deaths (per 100k),35.62,1.63,0.05,13.60,4,1,5,0
"Hampden, Massachusetts",Deaths (per 100k),32.38,1.44,0.04,8.26,4,1,5,-1
"Allen, Louisiana",Deaths (per 100k),31.22,1.67,0.05,9.82,4,1,5,0
"Oakland, Michigan",Deaths (per 100k),31.17,1.81,0.06,8.88,4,1,5,0
"Middlesex, New Jersey",Deaths (per 100k),30.06,2.01,0.07,7.11,4,1,5,-1
"Ocean, New Jersey",Deaths (per 100k),27.34,1.51,0.06,9.41,4,1,5,-1
"Monmouth, New Jersey",Deaths (per 100k),26.99,1.71,0.06,7.15,4,1,5,-1
"Darke, Ohio",Deaths (per 100k),19.56,1.12,0.06,9.35,4,1,5,1
"St. Martin, Louisiana",Deaths (per 100k),18.72,1.07,0.06,8.14,4,1,5,1
"Suffolk, Massachusetts",Deaths (per 100k),18.04,0.82,0.05,6.90,3,2,5,-1
"Randolph, Alabama",Deaths (per 100k),17.60,1.26,0.07,7.62,4,1,5,-2
"Carroll, Maryland",Deaths (per 100k),17.22,1.10,0.06,8.29,4,1,5,-1
"Bolivar, Mississippi",Deaths (per 100k),16.32,0.93,0.06,6.93,3,2,5,1
"Middlesex, Massachusetts",Deaths (per 100k),13.71,0.72,0.05,6.70,3,2,5,-1
"Lapeer, Michigan",Deaths (per 100k),11.41,0.98,0.09,4.61,3,2,5,-1
"Tangipahoa, Louisiana",Deaths (per 100k),11.13,0.85,0.08,4.15,3,2,5,-1
"Macon, Alabama",Deaths (per 100k),11.07,0.79,0.07,5.19,3,2,5,-1
"Delaware, Pennsylvania",Deaths (per 100k),10.59,0.66,0.06,6.15,3,2,5,0
"Kershaw, South Carolina",Deaths (per 100k),10.52,0.64,0.06,5.42,3,2,5,1
"Hancock, Mississippi",Deaths (per 100k),10.50,0.90,0.09,6.58,3,2,5,-2
"District of Columbia, District of Columbia",Deaths (per 100k),10.20,0.87,0.09,4.69,3,2,5,0
"Burlington, New Jersey",Deaths (per 100k),10.10,0.48,0.05,6.90,3,2,5,1
"Bristol, Massachusetts",Deaths (per 100k),9.91,0.68,0.07,5.73,3,2,5,-1
"Montgomery, Pennsylvania",Deaths (per 100k),9.87,0.79,0.08,5.49,3,2,5,0
"Camden, New Jersey",Deaths (per 100k),9.67,0.82,0.08,4.69,3,2,5,0
"Carbon, Pennsylvania",Deaths (per 100k),9.35,0.45,0.05,5.88,3,2,5,0
"Linn, Iowa",Deaths (per 100k),9.26,0.76,0.08,4.67,3,2,5,-1
"Nacogdoches, Texas",Deaths (per 100k),9.20,0.44,0.05,6.58,3,2,5,1
"Kankakee, Illinois",Deaths (per 100k),9.10,0.78,0.09,5.88,3,2,5,0
"Worcester, Massachusetts",Deaths (per 100k),8.91,0.45,0.05,6.98,3,2,5,0
"Bossier, Louisiana",Deaths (per 100k),8.66,0.67,0.08,6.35,3,2,5,0
"St. Louis City, Missouri",Deaths (per 100k),8.65,0.67,0.08,5.74,3,2,5,0
"Luzerne, Pennsylvania",Deaths (per 100k),8.51,0.81,0.10,4.23,3,2,5,0
"Washington, Texas",Deaths (per 100k),8.36,0.40,0.05,6.58,3,2,5,0
"Dearborn, Indiana",Deaths (per 100k),8.09,0.87,0.11,4.27,3,2,5,0
"Acadia, Louisiana",Deaths (per 100k),8.06,0.69,0.09,6.12,3,2,5,0
"Hamilton, Indiana",Deaths (per 100k),7.99,0.72,0.09,5.60,3,2,5,-1
"Putnam, Indiana",Deaths (per 100k),7.98,0.76,0.10,5.88,3,2,5,0
"Sunflower, Mississippi",Deaths (per 100k),7.96,0.57,0.07,5.19,3,2,5,5
"Prince George's, Maryland",Deaths (per 100k),7.92,0.72,0.09,4.89,3,2,5,0
"Frederick, Maryland",Deaths (per 100k),7.71,0.55,0.07,4.22,3,2,5,-1
"Denver, Colorado",Deaths (per 100k),7.70,0.79,0.10,4.74,3,2,5,0
"Hancock, Indiana",Deaths (per 100k),7.68,0.73,0.10,5.19,3,2,5,-1
"Montezuma, Colorado",Deaths (per 100k),7.64,0.55,0.07,6.58,3,2,5,0
"Marquette, Michigan",Deaths (per 100k),7.50,0.64,0.09,4.50,3,2,5,-1
"Ulster, New York",Deaths (per 100k),7.32,0.64,0.09,5.36,3,2,5,0
"Lee, Alabama",Deaths (per 100k),7.29,0.52,0.07,5.54,3,2,5,0
"DuPage, Illinois",Deaths (per 100k),7.15,0.60,0.08,5.23,3,2,5,0
"Hendricks, Indiana",Deaths (per 100k),7.05,0.50,0.07,6.81,3,2,5,0
"Delaware, New York",Deaths (per 100k),6.80,0.65,0.10,5.19,3,2,5,-1
"Lake, Indiana",Deaths (per 100k),6.80,0.59,0.09,5.23,3,2,5,0
"Lehigh, Pennsylvania",Deaths (per 100k),6.77,0.50,0.07,5.88,3,2,5,0
"Arapahoe, Colorado",Deaths (per 100k),6.55,0.61,0.09,4.77,3,2,5,-1
"Hall, Nebraska",Deaths (per 100k),6.52,0.70,0.11,4.73,3,2,5,-1
"Floyd, Indiana",Deaths (per 100k),6.37,0.73,0.11,4.15,3,2,5,-2
"Clinton, Michigan",Deaths (per 100k),6.28,0.54,0.09,4.03,3,2,5,-1
"Pontotoc, Mississippi",Deaths (per 100k),6.22,0.44,0.07,5.19,3,2,5,5
"Sauk, Wisconsin",Deaths (per 100k),6.21,0.44,0.07,5.19,3,2,5,5
"Dutchess, New York",Deaths (per 100k),6.12,0.39,0.06,6.84,3,2,5,2
"Jefferson, Kentucky",Deaths (per 100k),6.00,0.45,0.07,5.83,3,2,5,2
"Henderson, North Carolina",Deaths (per 100k),5.96,0.36,0.06,6.81,3,2,5,-1
"Boone, Indiana",Deaths (per 100k),5.90,0.42,0.07,4.84,3,2,5,1
"Isabella, Michigan",Deaths (per 100k),5.72,0.41,0.07,6.58,3,2,5,1
"Highlands, Florida",Deaths (per 100k),5.65,0.40,0.07,6.58,3,2,5,0
"Medina, Ohio",Deaths (per 100k),5.56,0.48,0.09,4.84,3,2,5,0
"Whiteside, Illinois",Deaths (per 100k),5.44,0.26,0.05,5.19,3,2,5,5
"Miami-Dade, Florida",Deaths (per 100k),5.37,0.44,0.08,4.65,3,2,5,0
"Citrus, Florida",Deaths (per 100k),5.35,0.48,0.09,5.05,3,2,5,0
"St. Louis, Missouri",Deaths (per 100k),5.33,0.56,0.11,4.30,3,2,5,-1
"Adams, Colorado",Deaths (per 100k),5.22,0.41,0.08,6.30,3,2,5,0
"Montgomery, Maryland",Deaths (per 100k),5.14,0.45,0.09,5.32,3,2,5,0
"Otsego, New York",Deaths (per 100k),5.04,0.24,0.05,5.19,3,2,5,5
"St. Clair, Michigan",Deaths (per 100k),5.03,0.36,0.07,5.71,3,2,5,0
"Atlantic, New Jersey",Deaths (per 100k),4.93,0.38,0.08,4.40,3,2,5,-1
"Rowan, North Carolina",Deaths (per 100k),4.93,0.20,0.04,5.19,3,2,5,2
"Tift, Georgia",Deaths (per 100k),4.92,0.35,0.07,5.88,3,2,5,-2
"Baltimore City, Maryland",Deaths (per 100k),4.89,0.48,0.10,4.50,3,2,5,-1
"Gloucester, New Jersey",Deaths (per 100k),4.80,0.29,0.06,6.69,3,2,5,0
"Chester, Pennsylvania",Deaths (per 100k),4.76,0.38,0.08,4.15,3,2,5,-2
"Manatee, Florida",Deaths (per 100k),4.71,0.39,0.08,5.00,3,2,5,-1
"Muscatine, Iowa",Deaths (per 100k),4.69,0.33,0.07,5.19,3,2,5,5
"Lee, Mississippi",Deaths (per 100k),4.68,0.33,0.07,6.93,3,2,5,-1
"Columbia, Pennsylvania",Deaths (per 100k),4.62,0.44,0.10,5.19,3,2,5,-2
"Stark, Ohio",Deaths (per 100k),4.59,0.39,0.08,4.77,3,2,5,2
"Berrien, Michigan",Deaths (per 100k),4.56,0.28,0.06,4.73,3,2,5,-1
"Eaton, Michigan",Deaths (per 100k),4.53,0.39,0.09,6.12,3,2,5,1
