alias,name
Rio Grande do Norte,"Rio Grande do Norte, Brazil"
Rio Grande do Sul,"Rio Grande do Sul, Brazil"
Rondonia,"Rondonia, Brazil"
Roraima,"Roraima, Brazil"
Santa Catarina,"Santa Catarina, Brazil"
Sao Paulo,"Sao Paulo, Brazil"
Sergipe,"Sergipe, Brazil"
Tocantins,"Tocantins, Brazil"
Mexico_country,Mexico
Aguascalientes,"Aguascalientes, Mexico"
Baja California,"Baja California, Mexico"
Baja California Sur,"Baja California Sur, Mexico"
Campeche,"Campeche, Mexico"
Chiapas,"Chiapas, Mexico"
Chihuahua,"Chihuahua, Mexico"
Ciudad de Mexico,"Ciudad de Mexico, Mexico"
Coahuila,"Coahuila, Mexico"
Colima,"Colima, Mexico"
Durango,"Durango, Mexico"
Guanajuato,"Guanajuato, Mexico"
Guerrero,"Guerrero, Mexico"
Hidalgo,"Hidalgo, Mexico"
Jalisco,"Jalisco, Mexico"
Michoacan,"Michoacan, Mexico"
Morelos,"Morelos, Mexico"
Nayarit,"Nayarit, Mexico"
Nuevo Leon,"Nuevo Leon, Mexico"
Oaxaca,"Oaxaca, Mexico"
Puebla,"Puebla, Mexico"
Queretaro,"Queretaro, Mexico"
Quintana Roo,"Quintana Roo, Mexico"
San Luis Potosi,"San Luis Potosi, Mexico"
Sinaloa,"Sinaloa, Mexico"
Sonora,"Sonora, Mexico"
Tabasco,"Tabasco, Mexico"
Tamaulipas,"Tamaulipas, Mexico"
Tlaxcala,"Tlaxcala, Mexico"
Veracruz,"Veracruz, Mexico"
Yucatan,"Yucatan, Mexico"
Zacatecas,"Zacatecas, Mexico"
Hong Kong,"Hong Kong, China"
"Hong Kong, Hong Kong","Hong Kong, China"
"Hong Kong, Hong Kong SAR","Hong Kong, China"
"Hong Kong SAR","Hong Kong, China"
Macau,"Macau, China"
"Macau, Macau","Macau, China"
"Macau, Macao SAR","Macau, China"
"Macao SAR","Macau, China"
Taiwan*,Taiwan
"Taiwan, Taiwan",Taiwan
"Taiwan, Taipei and environs",Taiwan
"Taipei and environs",Taiwan
"San Diego County, CA, US","San Diego, California, US"
North Ireland,"Northern Ireland, United Kingdom"
"Unassigned Location, WA","Unassigned, Washington, US"
Vatican City,Holy See
"Jackson, OR , US","Jackson, Oregon, US"
Republic of Ireland,Ireland
"Washington, D.C., US","District of Columbia, US"
"D.C., US","District of Columbia, US"
St. Martin,"St Martin, France"
Saint Martin,"St Martin, France"
Iran (Islamic Republic of),Iran
Viet Nam,Vietnam
Russian Federation,Russia
Channel Islands,"Channel Islands, United Kingdom"
"France, France",France
"UK, United Kingdom",United Kingdom
"United Kingdom, United Kingdom",United Kingdom
"Denmark, Denmark",Denmark
Cayman Islands,"Cayman Islands, United Kingdom"
Guadeloupe,"Guadeloupe, France"
Aruba,"Aruba, Netherlands"
Jersey,Invalid
"Netherlands, Netherlands",Netherlands
Guam,"Guam, US"
Puerto Rico,"Puerto Rico, US"
Greenland,"Greenland, Denmark"
Mayotte,"Mayotte, France"
The Bahamas,Bahamas
"Bahamas, The",Bahamas
The Gambia,Gambia
"Gambia, The",Gambia
"United States Virgin Islands, US","Virgin Islands, US"
Cape Verde,Cabo Verde
East Timor,Timor-Leste
"LeSeur, Minnesota, US","Le Sueur, Minnesota, US"
"Bristol Bay, Alaska, US","Bristol Bay plus Lake and Peninsula, Alaska, US"
"Bristol Bay plus Lake Peninsula, Alaska, US","Bristol Bay plus Lake and Peninsula, Alaska, US"
"Dona Ana, New Mexico, US","Doña Ana, New Mexico, US"
"Canon City, CO","Cañon City, CO"
"Falkland Islands (Islas Malvinas), United Kingdom","Falkland Islands (Malvinas), United Kingdom"
"Southwest, Utah, US","Southwest Utah, Utah, US"
"Dadar Nagar Haveli, India","Dadra and Nagar Haveli and Daman and Diu, India"
"Repatriated Travellers, Canada","Recovered, Canada"
