location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Colombia,Deaths (per 100k),0.26,0.02,0.08,5.51,1,2,3,0
Ukraine,Deaths (per 100k),0.25,0.02,0.07,6.51,1,2,3,0
"South Australia, Australia",Deaths (per 100k),0.23,0.02,0.11,4.96,1,2,3,-2
Indonesia,Deaths (per 100k),0.17,0.01,0.07,6.59,1,2,3,2
Russia,Deaths (per 100k),0.14,0.01,0.08,4.52,1,2,3,1
Kuwait,Deaths (per 100k),0.07,0.01,0.10,3.11,0,3,3,3
Iran,Deaths (per 100k),5.69,0.14,0.02,25.66,2,0,2,0
Iceland,Deaths (per 100k),2.34,0.08,0.04,17.33,2,0,2,-1
Croatia,Deaths (per 100k),0.80,0.05,0.06,8.18,1,1,2,0
Algeria,Deaths (per 100k),0.77,0.04,0.06,9.57,1,1,2,0
Armenia,Deaths (per 100k),0.57,0.04,0.07,7.19,1,1,2,0
Bulgaria,Deaths (per 100k),0.52,0.02,0.05,11.03,1,1,2,0
Belize,Deaths (per 100k),0.50,0.04,0.07,7.97,1,1,2,-3
Bahrain,Deaths (per 100k),0.41,0.02,0.04,13.86,1,1,2,0
Philippines,Deaths (per 100k),0.32,0.02,0.06,7.54,1,1,2,-1
Tunisia,Deaths (per 100k),0.30,0.01,0.04,12.32,1,1,2,0
Argentina,Deaths (per 100k),0.25,0.01,0.06,8.52,1,1,2,0
Bolivia,Deaths (per 100k),0.24,0.02,0.07,7.12,1,1,2,-1
Saudi Arabia,Deaths (per 100k),0.23,0.01,0.06,7.90,1,1,2,0
Cuba,Deaths (per 100k),0.21,0.01,0.06,7.83,1,1,2,-1
Egypt,Deaths (per 100k),0.18,0.01,0.07,7.92,1,1,2,-1
South Korea,Deaths (per 100k),0.10,0.01,0.09,5.15,0,2,2,0
Kazakhstan,Deaths (per 100k),0.09,0.01,0.07,5.80,0,2,2,1
Mali,Deaths (per 100k),0.06,0.01,0.09,4.84,0,2,2,1
Bangladesh,Deaths (per 100k),0.03,0.00,0.08,4.83,0,2,2,0
India,Deaths (per 100k),0.03,0.00,0.09,5.41,0,2,2,0
Haiti,Deaths (per 100k),0.03,0.00,0.10,5.19,0,2,2,-1
Cote d'Ivoire,Deaths (per 100k),0.02,0.00,0.07,6.58,0,2,2,1
Sudan,Deaths (per 100k),0.01,0.00,0.09,4.03,0,2,2,2
Burma,Deaths (per 100k),0.01,0.00,0.11,5.19,0,2,2,-1
Tanzania,Deaths (per 100k),0.01,0.00,0.07,5.54,0,2,2,0
Barbados,Deaths (per 100k),1.74,0.05,0.03,17.67,1,0,1,-3
Bosnia and Herzegovina,Deaths (per 100k),1.25,0.03,0.02,25.40,1,0,1,-2
Cyprus,Deaths (per 100k),0.99,0.01,0.01,54.41,1,0,1,1
Greece,Deaths (per 100k),0.98,0.03,0.03,22.28,1,0,1,0
Mauritius,Deaths (per 100k),0.71,0.02,0.03,20.10,1,0,1,0
"Manitoba, Canada",Deaths (per 100k),0.36,0.01,0.03,16.98,1,0,1,-1
Morocco,Deaths (per 100k),0.34,0.01,0.04,14.63,1,0,1,-1
"Saskatchewan, Canada",Deaths (per 100k),0.34,0.01,0.04,16.98,1,0,1,0
Singapore,Deaths (per 100k),0.17,0.01,0.06,9.01,0,1,1,1
Burkina Faso,Deaths (per 100k),0.15,0.01,0.05,11.12,0,1,1,0
Azerbaijan,Deaths (per 100k),0.13,0.01,0.05,9.91,0,1,1,0
Liberia,Deaths (per 100k),0.12,0.01,0.07,7.73,0,1,1,0
Japan,Deaths (per 100k),0.12,0.01,0.05,9.97,0,1,1,1
Paraguay,Deaths (per 100k),0.11,0.00,0.04,13.86,0,1,1,1
Oman,Deaths (per 100k),0.08,0.01,0.07,7.62,0,1,1,-1
Afghanistan,Deaths (per 100k),0.06,0.00,0.05,9.20,0,1,1,-1
Cameroon,Deaths (per 100k),0.06,0.00,0.04,11.02,0,1,1,1
Thailand,Deaths (per 100k),0.06,0.00,0.05,11.98,0,1,1,0
South Africa,Deaths (per 100k),0.06,0.00,0.06,7.77,0,1,1,-1
Pakistan,Deaths (per 100k),0.05,0.00,0.05,9.57,0,1,1,0
Hong Kong,Deaths (per 100k),0.04,0.00,0.05,10.05,0,1,1,1
Guatemala,Deaths (per 100k),0.03,0.00,0.06,9.01,0,1,1,-1
Ghana,Deaths (per 100k),0.03,0.00,0.05,11.20,0,1,1,0
Kenya,Deaths (per 100k),0.02,0.00,0.04,11.90,0,1,1,0
Uzbekistan,Deaths (per 100k),0.01,0.00,0.07,8.31,0,1,1,-1
Zambia,Deaths (per 100k),0.01,0.00,0.07,7.97,0,1,1,-1
Malawi,Deaths (per 100k),0.01,0.00,0.07,7.27,0,1,1,-3
Nigeria,Deaths (per 100k),0.01,0.00,0.06,8.10,0,1,1,-1
Ethiopia,Deaths (per 100k),0.00,0.00,0.05,12.82,0,1,1,0
"Hubei, China",Deaths (per 100k),5.46,0.00,0.00,1734.37,0,0,0,0
Albania,Deaths (per 100k),0.87,0.01,0.01,55.45,0,0,0,-1
"Korea, South",Deaths (per 100k),0.44,0.01,0.02,33.76,0,0,0,0
Congo (Kinshasa),Deaths (per 100k),0.38,0.01,0.01,46.79,0,0,0,0
Honduras,Deaths (per 100k),0.31,0.01,0.02,28.76,0,0,0,0
"New South Wales, Australia",Deaths (per 100k),0.31,0.01,0.02,27.55,0,0,0,-2
Lebanon,Deaths (per 100k),0.31,0.00,0.01,47.83,0,0,0,0
Malaysia,Deaths (per 100k),0.26,0.01,0.03,18.26,0,0,0,0
Australia,Deaths (per 100k),0.25,0.01,0.04,15.76,0,0,0,-2
Qatar,Deaths (per 100k),0.24,0.00,0.02,30.84,0,0,0,-2
Uruguay,Deaths (per 100k),0.23,0.00,0.02,35.00,0,0,0,0
"Victoria, Australia",Deaths (per 100k),0.21,0.01,0.03,21.14,0,0,0,-2
Iraq,Deaths (per 100k),0.20,0.00,0.02,26.95,0,0,0,0
"Queensland, Australia",Deaths (per 100k),0.10,0.00,0.03,21.83,0,0,0,0
Kyrgyzstan,Deaths (per 100k),0.08,0.00,0.03,22.53,0,0,0,-2
Niger,Deaths (per 100k),0.06,0.00,0.03,18.60,0,0,0,0
Taiwan*,Deaths (per 100k),0.03,0.00,0.02,27.38,0,0,0,0
