location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Litchfield, Connecticut",Deaths (per 100k),24.40,2.06,0.08,3.94,4,3,7,1
"Norfolk, Massachusetts",Deaths (per 100k),20.80,2.14,0.10,3.44,4,3,7,1
"Ouray, Colorado",Deaths (per 100k),20.19,2.88,0.14,3.11,4,3,7,-2
"Suffolk, Massachusetts",Deaths (per 100k),18.04,1.72,0.10,3.77,4,3,7,2
"Tallapoosa, Alabama",Deaths (per 100k),17.34,2.12,0.12,3.22,4,3,7,-1
"Alamosa, Colorado",Deaths (per 100k),12.32,1.76,0.14,3.11,4,3,7,-2
"Van Buren, Arkansas",Deaths (per 100k),12.09,1.73,0.14,3.80,4,3,7,-1
"Hunterdon, New Jersey",Deaths (per 100k),12.06,1.38,0.11,3.63,4,3,7,1
"Kershaw, South Carolina",Deaths (per 100k),12.02,1.07,0.09,3.80,4,3,7,3
"Tangipahoa, Louisiana",Deaths (per 100k),11.87,1.17,0.10,3.61,4,3,7,2
"Jones, North Carolina",Deaths (per 100k),10.62,1.52,0.14,3.11,4,3,7,-2
"Wyandot, Ohio",Deaths (per 100k),9.19,1.31,0.14,3.80,4,3,7,-1
"Lamoille, Vermont",Deaths (per 100k),7.89,1.13,0.14,3.80,4,3,7,-1
"Wyoming, New York",Deaths (per 100k),7.53,0.72,0.10,2.76,3,4,7,7
"Monroe, Michigan",Deaths (per 100k),6.64,0.85,0.13,2.72,3,4,7,-1
"Warrick, Indiana",Deaths (per 100k),6.35,0.68,0.11,2.64,3,4,7,1
"Montgomery, Kansas",Deaths (per 100k),6.28,0.90,0.14,2.41,3,4,7,-1
"Greene, Indiana",Deaths (per 100k),6.27,0.90,0.14,2.06,3,4,7,1
"Rowan, North Carolina",Deaths (per 100k),5.63,0.50,0.09,2.55,3,4,7,2
"Phillips, Arkansas",Deaths (per 100k),5.62,0.80,0.14,2.41,3,4,7,-1
"Niagara, New York",Deaths (per 100k),4.30,0.55,0.13,2.67,3,4,7,2
"Bedford, Tennessee",Deaths (per 100k),4.02,0.57,0.14,2.41,3,4,7,-1
"Cibola, New Mexico",Deaths (per 100k),3.75,0.54,0.14,2.41,3,4,7,-1
"Clinton, New York",Deaths (per 100k),3.73,0.53,0.14,2.64,3,4,7,-1
"Westmoreland, Pennsylvania",Deaths (per 100k),3.73,0.45,0.12,2.16,3,4,7,0
"Livingston, Louisiana",Deaths (per 100k),3.55,0.41,0.11,2.41,3,4,7,0
"Bradford, Florida",Deaths (per 100k),3.55,0.51,0.14,2.41,3,4,7,-1
"Wayne, North Carolina",Deaths (per 100k),3.25,0.23,0.07,2.41,3,4,7,1
"Summit, Colorado",Deaths (per 100k),3.22,0.46,0.14,2.41,3,4,7,-1
"Stanly, North Carolina",Deaths (per 100k),3.18,0.45,0.14,2.76,3,4,7,1
"Rutherford, North Carolina",Deaths (per 100k),2.98,0.43,0.14,2.76,3,4,7,1
"Paulding, Georgia",Deaths (per 100k),2.96,0.34,0.11,2.76,3,4,7,2
"Schuylkill, Pennsylvania",Deaths (per 100k),2.83,0.30,0.11,2.64,3,4,7,1
"Rock Island, Illinois",Deaths (per 100k),2.82,0.40,0.14,2.93,3,4,7,1
"Adams, Indiana",Deaths (per 100k),2.80,0.40,0.14,2.41,3,4,7,-1
"Addison, Vermont",Deaths (per 100k),2.72,0.39,0.14,2.41,3,4,7,-1
"Martin, Florida",Deaths (per 100k),2.48,0.35,0.14,2.93,3,4,7,1
"Kennebec, Maine",Deaths (per 100k),2.45,0.23,0.10,2.76,3,4,7,7
"Bay, Michigan",Deaths (per 100k),1.94,0.28,0.14,2.41,3,4,7,-1
"Warren, Ohio",Deaths (per 100k),1.71,0.18,0.11,1.47,2,5,7,0
"Lebanon, Pennsylvania",Deaths (per 100k),1.41,0.20,0.14,2.76,3,4,7,-1
"Monroe, Indiana",Deaths (per 100k),1.35,0.19,0.14,1.36,2,5,7,0
"Berkeley, South Carolina",Deaths (per 100k),1.32,0.19,0.14,1.94,2,5,7,1
"Fairfield, Ohio",Deaths (per 100k),1.27,0.09,0.07,1.71,2,5,7,0
"Talladega, Alabama",Deaths (per 100k),1.25,0.18,0.14,1.71,2,5,7,0
"Flathead, Montana",Deaths (per 100k),0.96,0.14,0.14,1.71,2,5,7,0
"Stanislaus, California",Deaths (per 100k),0.73,0.10,0.14,1.53,2,5,7,1
"El Paso, Texas",Deaths (per 100k),0.71,0.07,0.10,1.88,2,5,7,2
"New Hanover, North Carolina",Deaths (per 100k),0.43,0.06,0.14,1.71,2,5,7,0
"Randolph, Georgia",Deaths (per 100k),103.28,6.32,0.06,8.43,5,1,6,1
"Rockland, New York",Deaths (per 100k),97.92,6.31,0.06,7.22,5,1,6,0
"Mitchell, Georgia",Deaths (per 100k),91.48,5.88,0.06,8.12,5,1,6,-1
"Nassau, New York",Deaths (per 100k),81.73,5.86,0.07,7.07,5,1,6,-1
"Hudson, New Jersey",Deaths (per 100k),54.28,4.04,0.07,5.22,4,2,6,0
"Union, New Jersey",Deaths (per 100k),54.10,3.70,0.07,6.55,4,2,6,0
"Decatur, Indiana",Deaths (per 100k),52.71,3.77,0.07,6.28,4,2,6,1
"Morris, New Jersey",Deaths (per 100k),43.92,3.19,0.07,6.78,4,2,6,0
"Fairfield, Connecticut",Deaths (per 100k),43.04,3.53,0.08,4.89,4,2,6,0
"Passaic, New Jersey",Deaths (per 100k),42.05,3.16,0.08,5.31,4,2,6,0
"Macomb, Michigan",Deaths (per 100k),40.50,3.09,0.08,5.70,4,2,6,0
"Humphreys, Mississippi",Deaths (per 100k),37.20,1.77,0.05,5.19,4,2,6,6
"Somerset, New Jersey",Deaths (per 100k),36.79,2.39,0.06,6.73,4,2,6,0
"Hampden, Massachusetts",Deaths (per 100k),32.38,2.73,0.08,4.89,4,2,6,1
"Wilkin, Minnesota",Deaths (per 100k),32.22,2.30,0.07,5.88,4,2,6,-2
"Warren, New Jersey",Deaths (per 100k),31.35,2.85,0.09,4.36,4,2,6,-1
"Claiborne, Louisiana",Deaths (per 100k),25.53,1.82,0.07,6.93,4,2,6,2
"New Haven, Connecticut",Deaths (per 100k),25.04,2.26,0.09,4.18,4,2,6,0
"Genesee, Michigan",Deaths (per 100k),24.40,1.76,0.07,6.40,4,2,6,0
"Caddo, Louisiana",Deaths (per 100k),23.73,1.84,0.08,6.24,4,2,6,1
"Mercer, New Jersey",Deaths (per 100k),23.68,1.87,0.08,5.05,4,2,6,0
"St. Tammany, Louisiana",Deaths (per 100k),23.04,2.30,0.10,4.27,4,2,6,-1
"Jefferson Davis, Louisiana",Deaths (per 100k),22.32,2.73,0.12,4.15,4,2,6,-2
"Allamakee, Iowa",Deaths (per 100k),21.92,1.04,0.05,5.19,4,2,6,6
"Newton, Indiana",Deaths (per 100k),21.45,1.02,0.05,5.19,4,2,6,6
"St. Landry, Louisiana",Deaths (per 100k),20.70,2.09,0.10,4.21,4,2,6,-1
"Wyandotte, Kansas",Deaths (per 100k),20.55,1.64,0.08,5.45,4,2,6,-1
"Hopkins, Kentucky",Deaths (per 100k),20.14,1.28,0.06,5.88,4,2,6,6
"Hillsdale, Michigan",Deaths (per 100k),19.73,1.57,0.08,6.44,4,2,6,0
"Tuscola, Michigan",Deaths (per 100k),19.14,1.91,0.10,4.20,4,2,6,-1
"Johnson, Indiana",Deaths (per 100k),18.97,1.54,0.08,5.03,4,2,6,0
"Steuben, New York",Deaths (per 100k),18.87,1.50,0.08,4.57,4,2,6,-1
"Madison, Indiana",Deaths (per 100k),18.52,1.43,0.08,5.30,4,2,6,2
"Middlesex, Connecticut",Deaths (per 100k),18.47,1.85,0.10,4.10,4,2,6,0
"Clarendon, South Carolina",Deaths (per 100k),17.78,1.69,0.10,4.84,4,2,6,2
"Essex, Massachusetts",Deaths (per 100k),17.74,1.63,0.09,4.53,4,2,6,0
"Lincoln, Mississippi",Deaths (per 100k),17.57,1.25,0.07,5.19,4,2,6,-2
"Gunnison, Colorado",Deaths (per 100k),17.18,1.64,0.10,4.84,4,2,6,-1
"Plymouth, Massachusetts",Deaths (per 100k),17.08,1.53,0.09,4.24,4,2,6,2
"Marion, Indiana",Deaths (per 100k),17.00,1.44,0.08,5.71,4,2,6,0
"Columbia, New York",Deaths (per 100k),16.82,1.44,0.09,5.65,4,2,6,0
"Philadelphia, Pennsylvania",Deaths (per 100k),16.67,1.22,0.07,5.44,4,2,6,-1
"Bolivar, Mississippi",Deaths (per 100k),16.32,1.40,0.09,5.19,4,2,6,2
"Lauderdale, Mississippi",Deaths (per 100k),16.19,1.35,0.08,5.39,4,2,6,0
"Portage, Ohio",Deaths (per 100k),14.77,1.23,0.08,5.39,4,2,6,0
"Pearl River, Mississippi",Deaths (per 100k),14.41,1.29,0.09,5.88,4,2,6,-1
"Middlesex, Massachusetts",Deaths (per 100k),13.71,1.25,0.09,4.39,4,2,6,1
"Chittenden, Vermont",Deaths (per 100k),13.43,1.31,0.10,5.14,4,2,6,0
"Washington, Oklahoma",Deaths (per 100k),11.64,0.83,0.07,3.80,3,3,6,2
"Cape May, New Jersey",Deaths (per 100k),10.86,1.09,0.10,4.69,4,2,6,0
"Nacogdoches, Texas",Deaths (per 100k),9.20,0.88,0.10,3.80,3,3,6,2
"Frederick, Maryland",Deaths (per 100k),8.48,0.88,0.10,3.19,3,3,6,1
"Washington, Texas",Deaths (per 100k),8.36,0.80,0.10,3.80,3,3,6,1
"Lubbock, Texas",Deaths (per 100k),8.05,0.87,0.11,3.47,3,3,6,1
"Charles, Maryland",Deaths (per 100k),7.96,0.88,0.11,3.45,3,3,6,-1
"Sussex, Delaware",Deaths (per 100k),7.68,0.79,0.10,3.53,3,3,6,-1
"Clinton, Michigan",Deaths (per 100k),7.54,0.72,0.10,3.63,3,3,6,1
"Franklin, North Carolina",Deaths (per 100k),7.18,0.41,0.06,3.11,3,3,6,-1
"Jackson, Illinois",Deaths (per 100k),7.05,0.76,0.11,3.80,3,3,6,-1
"Rockdale, Georgia",Deaths (per 100k),6.60,0.63,0.10,3.45,3,3,6,3
"Allen, Ohio",Deaths (per 100k),5.86,0.42,0.07,3.57,3,3,6,-2
"Drew, Arkansas",Deaths (per 100k),5.49,0.78,0.14,3.11,3,3,6,-2
"Whiteside, Illinois",Deaths (per 100k),5.44,0.52,0.10,3.11,3,3,6,6
"Otsego, New York",Deaths (per 100k),5.04,0.48,0.10,3.11,3,3,6,6
"Chester, Pennsylvania",Deaths (per 100k),4.95,0.52,0.10,3.66,3,3,6,1
"Livingston, Michigan",Deaths (per 100k),4.69,0.37,0.08,3.80,3,3,6,1
"Boulder, Colorado",Deaths (per 100k),4.60,0.53,0.11,3.40,3,3,6,-1
"Berrien, Michigan",Deaths (per 100k),4.56,0.47,0.10,3.38,3,3,6,1
"Habersham, Georgia",Deaths (per 100k),4.41,0.32,0.07,3.11,3,3,6,-2
"Delaware, Indiana",Deaths (per 100k),4.38,0.38,0.09,3.11,3,3,6,2
"Sumner, Kansas",Deaths (per 100k),4.38,0.63,0.14,3.11,3,3,6,-2
"Geauga, Ohio",Deaths (per 100k),4.27,0.46,0.11,3.11,3,3,6,-1
"Cass, Missouri",Deaths (per 100k),3.78,0.41,0.11,3.34,3,3,6,2
"Union, Mississippi",Deaths (per 100k),3.47,0.50,0.14,3.11,3,3,6,-2
"Palo Pinto, Texas",Deaths (per 100k),3.43,0.49,0.14,3.11,3,3,6,-2
"St. Louis, Minnesota",Deaths (per 100k),3.01,0.43,0.14,3.11,3,3,6,-1
"Calhoun, Michigan",Deaths (per 100k),2.98,0.21,0.07,3.80,3,3,6,2
"Wexford, Michigan",Deaths (per 100k),2.97,0.42,0.14,3.11,3,3,6,-2
"Kenosha, Wisconsin",Deaths (per 100k),2.95,0.25,0.09,3.57,3,3,6,-1
"Nicollet, Minnesota",Deaths (per 100k),2.92,0.42,0.14,3.11,3,3,6,-2
"Cowley, Kansas",Deaths (per 100k),2.86,0.41,0.14,3.11,3,3,6,-2
"Howard, Texas",Deaths (per 100k),2.73,0.39,0.14,3.11,3,3,6,-2
"St. Joseph, Indiana",Deaths (per 100k),2.58,0.21,0.08,3.28,3,3,6,2
"Champaign, Ohio",Deaths (per 100k),2.57,0.37,0.14,3.11,3,3,6,-2
"Tioga, Pennsylvania",Deaths (per 100k),2.46,0.35,0.14,3.11,3,3,6,-2
"Richmond, North Carolina",Deaths (per 100k),2.23,0.32,0.14,3.11,3,3,6,-2
"Auglaize, Ohio",Deaths (per 100k),2.19,0.31,0.14,3.11,3,3,6,-2
"Bedford, Pennsylvania",Deaths (per 100k),2.09,0.30,0.14,3.11,3,3,6,-2
"Loudoun, Virginia",Deaths (per 100k),1.69,0.21,0.12,3.45,3,3,6,2
"Armstrong, Pennsylvania",Deaths (per 100k),1.54,0.22,0.14,3.11,3,3,6,-2
"Union, North Carolina",Deaths (per 100k),1.25,0.18,0.14,2.18,2,4,6,1
"Porter, Indiana",Deaths (per 100k),1.17,0.17,0.14,2.76,2,4,6,-1
"Josephine, Oregon",Deaths (per 100k),1.14,0.16,0.14,2.41,2,4,6,-1
"Marathon, Wisconsin",Deaths (per 100k),0.74,0.11,0.14,2.41,2,4,6,-1
"Kings, California",Deaths (per 100k),0.65,0.09,0.14,2.41,2,4,6,-1
"Doña Ana, New Mexico",Deaths (per 100k),0.46,0.07,0.14,2.41,2,4,6,-1
"Yavapai, Arizona",Deaths (per 100k),0.43,0.06,0.14,2.41,2,4,6,-1
"Bergen, New Jersey",Deaths (per 100k),71.66,4.51,0.06,7.34,4,1,5,-1
"St. James, Louisiana",Deaths (per 100k),66.36,4.06,0.06,7.97,4,1,5,-1
"Jefferson, Louisiana",Deaths (per 100k),60.35,3.24,0.05,8.88,4,1,5,0
"Iberville, Louisiana",Deaths (per 100k),55.37,3.52,0.06,7.88,4,1,5,-1
"Orange, New York",Deaths (per 100k),53.00,2.63,0.05,9.74,4,1,5,-1
"Wayne, Michigan",Deaths (per 100k),50.53,3.58,0.07,7.45,4,1,5,-1
"Plaquemines, Louisiana",Deaths (per 100k),47.42,2.46,0.05,11.95,4,1,5,0
"Sumter, Georgia",Deaths (per 100k),47.42,2.90,0.06,7.27,4,1,5,-1
"Suffolk, New York",Deaths (per 100k),46.93,3.19,0.07,7.17,4,1,5,-1
"Red River, Louisiana",Deaths (per 100k),35.54,1.69,0.05,7.27,4,1,5,-3
"Allen, Louisiana",Deaths (per 100k),35.12,1.67,0.05,10.51,4,1,5,0
"Middlesex, New Jersey",Deaths (per 100k),33.69,1.89,0.06,8.28,4,1,5,-1
"Oakland, Michigan",Deaths (per 100k),33.40,1.79,0.05,9.63,4,1,5,0
"Monmouth, New Jersey",Deaths (per 100k),30.70,1.87,0.06,7.20,4,1,5,0
"Sussex, New Jersey",Deaths (per 100k),30.61,2.03,0.07,7.52,4,1,5,-1
"Ocean, New Jersey",Deaths (per 100k),30.47,1.53,0.05,9.95,4,1,5,0
"Ascension, Louisiana",Deaths (per 100k),22.91,1.35,0.06,8.72,4,1,5,-1
"Washington, Louisiana",Deaths (per 100k),21.65,1.55,0.07,7.83,4,1,5,-1
"St. Martin, Louisiana",Deaths (per 100k),18.72,1.34,0.07,7.13,4,1,5,1
"Randolph, Alabama",Deaths (per 100k),17.60,1.26,0.07,8.31,4,1,5,-1
"Weld, Colorado",Deaths (per 100k),17.57,1.10,0.06,8.27,4,1,5,-1
"Lapeer, Michigan",Deaths (per 100k),14.84,0.82,0.05,6.30,3,2,5,-1
"Calhoun, Mississippi",Deaths (per 100k),13.93,0.99,0.07,5.19,3,2,5,5
"Lackawanna, Pennsylvania",Deaths (per 100k),13.35,0.95,0.07,6.83,3,2,5,-1
"Will, Illinois",Deaths (per 100k),12.74,0.91,0.07,6.37,3,2,5,-1
"Delaware, Pennsylvania",Deaths (per 100k),12.53,0.93,0.07,4.91,3,2,5,0
"Camden, New Jersey",Deaths (per 100k),11.85,0.76,0.06,5.76,3,2,5,0
"Burlington, New Jersey",Deaths (per 100k),11.68,0.90,0.08,4.22,3,2,5,1
"Erie, New York",Deaths (per 100k),11.65,0.87,0.07,5.27,3,2,5,1
"District of Columbia, District of Columbia",Deaths (per 100k),11.48,0.91,0.08,5.16,3,2,5,0
"Macon, Alabama",Deaths (per 100k),11.07,0.79,0.07,5.88,3,2,5,0
"Montgomery, Pennsylvania",Deaths (per 100k),10.71,0.77,0.07,6.32,3,2,5,0
"Saginaw, Michigan",Deaths (per 100k),10.50,0.97,0.09,4.07,3,2,5,-2
"Webster, Louisiana",Deaths (per 100k),10.43,0.75,0.07,5.19,3,2,5,5
"Lake, Illinois",Deaths (per 100k),10.05,0.80,0.08,4.98,3,2,5,-1
"Bristol, Massachusetts",Deaths (per 100k),9.91,0.83,0.08,5.32,3,2,5,-1
"Tift, Georgia",Deaths (per 100k),9.84,0.35,0.04,6.58,3,2,5,-2
"Linn, Iowa",Deaths (per 100k),9.70,0.82,0.08,4.98,3,2,5,0
"Acadia, Louisiana",Deaths (per 100k),9.67,0.69,0.07,6.81,3,2,5,0
"Bucks, Pennsylvania",Deaths (per 100k),9.55,0.64,0.07,5.86,3,2,5,1
"St. Louis City, Missouri",Deaths (per 100k),8.98,0.67,0.07,6.43,3,2,5,0
"Shelby, Indiana",Deaths (per 100k),8.94,0.64,0.07,5.54,3,2,5,-2
"Klickitat, Washington",Deaths (per 100k),8.92,0.64,0.07,5.19,3,2,5,5
"Worcester, Massachusetts",Deaths (per 100k),8.91,0.77,0.09,4.57,3,2,5,0
"Luzerne, Pennsylvania",Deaths (per 100k),8.82,0.72,0.08,5.49,3,2,5,0
"Lake, Indiana",Deaths (per 100k),8.45,0.62,0.07,5.65,3,2,5,0
"Sunflower, Mississippi",Deaths (per 100k),7.96,0.57,0.07,5.88,3,2,5,5
"Arapahoe, Colorado",Deaths (per 100k),7.92,0.52,0.07,6.32,3,2,5,0
"Prince George's, Maryland",Deaths (per 100k),7.92,0.63,0.08,6.37,3,2,5,0
"Hancock, Indiana",Deaths (per 100k),7.68,0.73,0.10,5.88,3,2,5,0
"Lehigh, Pennsylvania",Deaths (per 100k),7.58,0.50,0.07,6.58,3,2,5,0
"Marquette, Michigan",Deaths (per 100k),7.50,0.64,0.09,5.19,3,2,5,0
"DuPage, Illinois",Deaths (per 100k),7.48,0.56,0.07,6.39,3,2,5,0
"Calcasieu, Louisiana",Deaths (per 100k),7.37,0.77,0.10,4.12,3,2,5,-1
"Boone, Indiana",Deaths (per 100k),7.37,0.42,0.06,5.54,3,2,5,1
"Berks, Pennsylvania",Deaths (per 100k),7.36,0.54,0.07,5.67,3,2,5,-1
"Jefferson, Kentucky",Deaths (per 100k),7.30,0.45,0.06,6.52,3,2,5,0
"Lee, Alabama",Deaths (per 100k),7.29,0.61,0.08,5.39,3,2,5,0
"Henderson, North Carolina",Deaths (per 100k),6.81,0.49,0.07,5.71,3,2,5,0
"Delaware, New York",Deaths (per 100k),6.80,0.65,0.10,5.88,3,2,5,0
"Miami-Dade, Florida",Deaths (per 100k),6.74,0.51,0.08,4.68,3,2,5,0
"St. Louis, Missouri",Deaths (per 100k),6.64,0.42,0.06,6.60,3,2,5,0
"Albany, New York",Deaths (per 100k),6.55,0.51,0.08,5.70,3,2,5,1
"Morton, North Dakota",Deaths (per 100k),6.38,0.46,0.07,5.19,3,2,5,5
"Pontotoc, Mississippi",Deaths (per 100k),6.22,0.44,0.07,5.88,3,2,5,5
"Sauk, Wisconsin",Deaths (per 100k),6.21,0.44,0.07,5.88,3,2,5,5
"Gloucester, New Jersey",Deaths (per 100k),6.17,0.34,0.06,6.38,3,2,5,0
"Ouachita, Louisiana",Deaths (per 100k),5.87,0.47,0.08,5.05,3,2,5,-1
"Lawrence, Pennsylvania",Deaths (per 100k),5.85,0.50,0.09,5.65,3,2,5,1
"Stark, Ohio",Deaths (per 100k),5.67,0.39,0.07,5.47,3,2,5,2
"Medina, Ohio",Deaths (per 100k),5.56,0.48,0.09,5.54,3,2,5,0
"Burke, North Carolina",Deaths (per 100k),5.53,0.47,0.09,4.03,3,2,5,2
"Anne Arundel, Maryland",Deaths (per 100k),5.52,0.49,0.09,5.43,3,2,5,-1
"St. Clair, Illinois",Deaths (per 100k),5.39,0.39,0.07,4.50,3,2,5,-1
"Citrus, Florida",Deaths (per 100k),5.35,0.57,0.11,4.84,3,2,5,0
"Baltimore City, Maryland",Deaths (per 100k),5.22,0.46,0.09,5.45,3,2,5,0
"Pike, Mississippi",Deaths (per 100k),5.09,0.36,0.07,5.19,3,2,5,-1
"Jackson, Michigan",Deaths (per 100k),5.05,0.36,0.07,6.06,3,2,5,2
"St. Clair, Michigan",Deaths (per 100k),5.03,0.45,0.09,5.19,3,2,5,0
"Manatee, Florida",Deaths (per 100k),4.96,0.43,0.09,5.25,3,2,5,-1
"Baltimore, Maryland",Deaths (per 100k),4.96,0.48,0.10,4.74,3,2,5,-1
"Atlantic, New Jersey",Deaths (per 100k),4.93,0.49,0.10,4.03,3,2,5,-1
"Muscatine, Iowa",Deaths (per 100k),4.69,0.33,0.07,5.88,3,2,5,5
"Columbia, Pennsylvania",Deaths (per 100k),4.62,0.44,0.10,5.88,3,2,5,-2
"Los Angeles, California",Deaths (per 100k),4.55,0.29,0.06,6.56,3,2,5,0
"Belmont, Ohio",Deaths (per 100k),4.48,0.43,0.10,4.50,3,2,5,-1
"New Castle, Delaware",Deaths (per 100k),4.47,0.28,0.06,6.96,3,2,5,0
"Baldwin, Georgia",Deaths (per 100k),4.46,0.32,0.07,6.58,3,2,5,0
"Johnston, North Carolina",Deaths (per 100k),4.30,0.27,0.06,6.23,3,2,5,2
"Benton, Oregon",Deaths (per 100k),4.30,0.31,0.07,4.50,3,2,5,1
"McHenry, Illinois",Deaths (per 100k),4.22,0.28,0.07,5.19,3,2,5,1
"Allen, Indiana",Deaths (per 100k),4.22,0.30,0.07,6.15,3,2,5,2
"Pottawatomie, Oklahoma",Deaths (per 100k),4.13,0.39,0.10,5.88,3,2,5,0
"Richmond, Georgia",Deaths (per 100k),3.95,0.35,0.09,4.50,3,2,5,0
"Sarasota, Florida",Deaths (per 100k),3.92,0.30,0.08,6.27,3,2,5,1
"Wayne, Pennsylvania",Deaths (per 100k),3.89,0.28,0.07,5.19,3,2,5,-1
"Wood, Ohio",Deaths (per 100k),3.82,0.33,0.09,4.96,3,2,5,-2
"Galveston, Texas",Deaths (per 100k),3.80,0.25,0.07,6.12,3,2,5,-1
"Charlotte, Florida",Deaths (per 100k),3.71,0.30,0.08,4.84,3,2,5,-1
"Lafayette, Mississippi",Deaths (per 100k),3.70,0.26,0.07,5.88,3,2,5,5
