location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Bracken, Kentucky",Confirmed (per 100k),72.26,8.60,0.12,2.69,5,4,9,-1
"Towns, Georgia",Confirmed (per 100k),66.46,7.12,0.11,2.41,5,4,9,3
"Todd, Kentucky",Confirmed (per 100k),65.07,8.13,0.13,2.41,5,4,9,-1
"Black Hawk, Iowa",Confirmed (per 100k),64.77,6.86,0.11,2.97,5,4,9,2
"Habersham, Georgia",Confirmed (per 100k),63.98,6.93,0.11,2.79,5,4,9,2
"Hancock, Georgia",Confirmed (per 100k),59.12,6.76,0.11,2.58,5,4,9,-1
"Grant, Kentucky",Confirmed (per 100k),55.85,6.84,0.12,2.58,5,4,9,-1
"Hamilton, Kansas",Confirmed (per 100k),39.39,5.63,0.14,2.41,5,4,9,-1
"Polk, Nebraska",Confirmed (per 100k),38.37,5.48,0.14,2.41,5,4,9,1
"Prince of Wales-Hyder, Alaska",Confirmed (per 100k),32.24,4.61,0.14,1.36,4,5,9,0
"Kearny, Kansas",Confirmed (per 100k),26.06,3.72,0.14,1.71,4,5,9,0
"Red Lake, Minnesota",Confirmed (per 100k),24.66,3.52,0.14,1.71,4,5,9,0
"Liberty, Florida",Confirmed (per 100k),23.94,3.42,0.14,1.71,4,5,9,0
"Trimble, Kentucky",Confirmed (per 100k),23.61,3.37,0.14,1.71,4,5,9,0
"Montgomery, Georgia",Confirmed (per 100k),21.81,3.12,0.14,1.71,4,5,9,0
"Rock, Minnesota",Confirmed (per 100k),21.47,3.07,0.14,1.71,4,5,9,0
"Brule, South Dakota",Confirmed (per 100k),18.88,2.70,0.14,1.71,4,5,9,0
"Lake, Michigan",Confirmed (per 100k),16.87,2.41,0.14,1.71,4,5,9,0
"Pike, Indiana",Confirmed (per 100k),16.14,2.31,0.14,1.00,4,5,9,0
"Big Horn, Montana",Confirmed (per 100k),15.02,2.15,0.14,1.71,4,5,9,1
"Hocking, Ohio",Confirmed (per 100k),14.15,2.02,0.14,1.36,4,5,9,0
"Ellis, Kansas",Confirmed (per 100k),14.01,2.00,0.14,1.18,4,5,9,1
"Nobles, Minnesota",Confirmed (per 100k),13.87,1.98,0.14,1.24,4,5,9,2
"Whitley, Kentucky",Confirmed (per 100k),13.79,1.97,0.14,1.85,4,5,9,0
"Fleming, Kentucky",Confirmed (per 100k),13.72,1.96,0.14,1.00,4,5,9,0
"Falls Church, Virginia",Confirmed (per 100k),13.68,1.95,0.14,1.71,4,5,9,0
"Quay, New Mexico",Confirmed (per 100k),12.12,1.73,0.14,1.71,4,5,9,0
"Yoakum, Texas",Confirmed (per 100k),11.48,1.64,0.14,1.71,4,5,9,0
"Gallatin, Kentucky",Confirmed (per 100k),11.28,1.61,0.14,1.71,4,5,9,0
"Washita, Oklahoma",Confirmed (per 100k),9.16,1.31,0.14,1.71,4,5,9,0
"Big Horn, Wyoming",Confirmed (per 100k),8.48,1.21,0.14,1.71,4,5,9,0
"Todd, Minnesota",Confirmed (per 100k),8.11,1.16,0.14,1.71,4,5,9,0
"Summers, West Virginia",Confirmed (per 100k),7.95,1.14,0.14,1.71,4,5,9,0
"Minnehaha, South Dakota",Confirmed (per 100k),483.60,44.60,0.09,3.37,5,3,8,0
"Hinsdale, Colorado",Confirmed (per 100k),365.85,34.84,0.10,3.45,5,3,8,1
"Hall, Nebraska",Confirmed (per 100k),348.80,36.32,0.10,3.78,5,3,8,1
"Tallapoosa, Alabama",Confirmed (per 100k),314.61,31.85,0.10,3.62,5,3,8,0
"Morgan, Colorado",Confirmed (per 100k),306.18,32.44,0.11,3.46,5,3,8,0
"Pickaway, Ohio",Confirmed (per 100k),294.23,16.13,0.05,3.92,5,3,8,1
"Dearborn, Indiana",Confirmed (per 100k),260.83,25.42,0.10,3.86,5,3,8,2
"Marion, Ohio",Confirmed (per 100k),251.95,18.00,0.07,3.17,5,3,8,1
"Moore, Texas",Confirmed (per 100k),248.33,19.10,0.08,3.26,5,3,8,1
"Marion, Georgia",Confirmed (per 100k),203.37,23.93,0.12,3.01,5,3,8,1
"Randolph, Alabama",Confirmed (per 100k),198.05,20.12,0.10,4.00,5,3,8,0
"Isle of Wight, Virginia",Confirmed (per 100k),161.69,14.24,0.09,3.82,5,3,8,3
"Red River, Louisiana",Confirmed (per 100k),153.99,18.61,0.12,3.42,5,3,8,-1
"Rowan, North Carolina",Confirmed (per 100k),152.02,14.28,0.09,3.71,5,3,8,1
"Greensville, Virginia",Confirmed (per 100k),141.14,12.60,0.09,3.73,5,3,8,2
"Crawford, Michigan",Confirmed (per 100k),114.05,10.18,0.09,3.94,5,3,8,-1
"Chatham, North Carolina",Confirmed (per 100k),108.77,10.36,0.10,3.75,5,3,8,0
"Franklin, North Carolina",Confirmed (per 100k),96.15,10.25,0.11,3.94,5,3,8,-1
"Panola, Texas",Confirmed (per 100k),94.85,9.85,0.10,3.11,5,3,8,1
"Dickens, Texas",Confirmed (per 100k),90.46,12.92,0.14,3.45,5,3,8,-1
"Grady, Georgia",Confirmed (per 100k),85.25,9.28,0.11,3.76,5,3,8,1
"Stone, Mississippi",Confirmed (per 100k),81.81,8.57,0.10,3.30,5,3,8,-1
"Bullock, Alabama",Confirmed (per 100k),79.20,7.07,0.09,3.94,5,3,8,4
"Coffee, Alabama",Confirmed (per 100k),76.42,7.64,0.10,3.48,5,3,8,-1
"Kennebec, Maine",Confirmed (per 100k),76.04,6.42,0.08,3.46,5,3,8,3
"McLean, Kentucky",Confirmed (per 100k),76.03,9.31,0.12,3.57,5,3,8,-1
"Wicomico, Maryland",Confirmed (per 100k),73.35,6.34,0.09,3.64,5,3,8,1
"Brantley, Georgia",Confirmed (per 100k),68.03,6.73,0.10,3.88,5,3,8,-1
"Lawrence, Arkansas",Confirmed (per 100k),67.05,8.71,0.13,3.94,5,3,8,-1
"Prince Edward, Virginia",Confirmed (per 100k),65.78,6.27,0.10,3.38,5,3,8,1
"Jefferson Davis, Mississippi",Confirmed (per 100k),62.90,7.70,0.12,3.11,5,3,8,-1
"Marion, Kentucky",Confirmed (per 100k),57.07,5.93,0.10,3.80,5,3,8,-1
"Clay, Tennessee",Confirmed (per 100k),52.53,5.63,0.11,3.80,5,3,8,3
"McCreary, Kentucky",Confirmed (per 100k),52.23,5.80,0.11,3.01,5,3,8,-2
"Miner, South Dakota",Confirmed (per 100k),45.13,6.45,0.14,3.11,5,3,8,-2
"Russell, Kentucky",Confirmed (per 100k),44.64,5.58,0.13,3.31,5,3,8,-2
"Graves, Kentucky",Confirmed (per 100k),42.93,4.22,0.10,2.66,4,4,8,1
"Niobrara, Wyoming",Confirmed (per 100k),42.44,6.06,0.14,3.11,5,3,8,-2
"Fayette, Ohio",Confirmed (per 100k),42.07,5.01,0.12,3.25,5,3,8,1
"Concho, Texas",Confirmed (per 100k),36.68,5.24,0.14,3.11,5,3,8,-2
"Bremer, Iowa",Confirmed (per 100k),35.91,3.99,0.11,2.11,4,4,8,4
"Hardin, Ohio",Confirmed (per 100k),35.07,4.10,0.12,2.49,4,4,8,1
"Jack, Texas",Confirmed (per 100k),33.58,3.20,0.10,2.06,4,4,8,1
"Osceola, Iowa",Confirmed (per 100k),33.57,4.80,0.14,2.41,4,4,8,-1
"Clay, Nebraska",Confirmed (per 100k),32.24,4.61,0.14,2.41,4,4,8,-1
"White Pine, Nevada",Confirmed (per 100k),31.32,2.98,0.10,2.76,4,4,8,8
"Richmond, North Carolina",Confirmed (per 100k),31.23,3.51,0.11,2.66,4,4,8,-1
"Hampshire, West Virginia",Confirmed (per 100k),30.20,3.08,0.10,2.83,4,4,8,0
"Ballard, Kentucky",Confirmed (per 100k),25.35,3.62,0.14,2.06,4,4,8,1
"Montague, Texas",Confirmed (per 100k),25.23,2.88,0.11,2.06,4,4,8,3
"Yates, New York",Confirmed (per 100k),24.08,2.87,0.12,2.13,4,4,8,3
"Hidalgo, New Mexico",Confirmed (per 100k),23.82,3.40,0.14,2.41,4,4,8,-1
"Tensas, Louisiana",Confirmed (per 100k),23.07,3.30,0.14,2.41,4,4,8,-1
"Hot Springs, Wyoming",Confirmed (per 100k),22.66,3.24,0.14,2.41,4,4,8,-1
"Noble, Ohio",Confirmed (per 100k),20.80,1.98,0.10,2.41,4,4,8,1
"Pine, Minnesota",Confirmed (per 100k),20.28,2.90,0.14,2.18,4,4,8,-1
"Phillips, Kansas",Confirmed (per 100k),19.11,2.73,0.14,2.41,4,4,8,-1
"Richland, North Dakota",Confirmed (per 100k),18.54,2.65,0.14,2.41,4,4,8,-1
"Green, Kentucky",Confirmed (per 100k),18.28,2.61,0.14,2.76,4,4,8,-1
"Coles, Illinois",Confirmed (per 100k),17.78,2.26,0.13,2.32,4,4,8,-1
"Colfax, New Mexico",Confirmed (per 100k),16.75,2.39,0.14,2.06,4,4,8,-1
"Pierce, Nebraska",Confirmed (per 100k),13.99,2.00,0.14,2.41,4,4,8,-1
"Sawyer, Wisconsin",Confirmed (per 100k),12.08,1.73,0.14,2.06,4,4,8,2
"Warren, Illinois",Confirmed (per 100k),11.87,1.70,0.14,2.06,4,4,8,-1
"Salem, Virginia",Confirmed (per 100k),11.86,1.13,0.10,2.76,4,4,8,8
"Barren, Kentucky",Confirmed (per 100k),11.30,1.29,0.11,2.93,4,4,8,-1
"Carter, Kentucky",Confirmed (per 100k),11.20,1.07,0.10,2.76,4,4,8,8
"Wayne, Nebraska",Confirmed (per 100k),10.66,1.52,0.14,2.41,4,4,8,-1
"Dimmit, Texas",Confirmed (per 100k),9.88,1.41,0.14,2.41,4,4,8,-1
"Iron, Missouri",Confirmed (per 100k),9.88,1.41,0.14,2.41,4,4,8,-1
"McKean, Pennsylvania",Confirmed (per 100k),9.85,1.05,0.11,2.87,4,4,8,3
"Box Butte, Nebraska",Confirmed (per 100k),9.27,1.32,0.14,2.41,4,4,8,-1
"Bee, Texas",Confirmed (per 100k),9.21,1.32,0.14,2.41,4,4,8,1
"Luna, New Mexico",Confirmed (per 100k),8.44,1.21,0.14,2.41,4,4,8,-1
"Price, Wisconsin",Confirmed (per 100k),7.49,1.07,0.14,2.41,4,4,8,-1
"Knott, Kentucky",Confirmed (per 100k),6.75,0.96,0.14,1.71,3,5,8,0
"McDonough, Illinois",Confirmed (per 100k),6.74,0.96,0.14,1.71,3,5,8,0
"Becker, Minnesota",Confirmed (per 100k),5.81,0.83,0.14,1.71,3,5,8,0
"Cooke, Texas",Confirmed (per 100k),4.85,0.69,0.14,1.71,3,5,8,1
"Rowan, Kentucky",Confirmed (per 100k),4.09,0.58,0.14,1.71,3,5,8,0
"Lincoln, Kentucky",Confirmed (per 100k),4.07,0.58,0.14,1.71,3,5,8,0
"Knox, Kentucky",Confirmed (per 100k),3.21,0.46,0.14,1.71,3,5,8,0
"Donley, Texas",Confirmed (per 100k),701.65,69.73,0.10,5.71,5,2,7,0
"Tama, Iowa",Confirmed (per 100k),658.60,55.94,0.08,5.43,5,2,7,0
"Turner, Georgia",Confirmed (per 100k),513.46,44.73,0.09,5.64,5,2,7,0
"New Haven, Connecticut",Confirmed (per 100k),439.66,31.40,0.07,6.58,5,2,7,0
"McKinley, New Mexico",Confirmed (per 100k),339.09,22.62,0.07,5.04,5,2,7,0
"Wilcox, Alabama",Confirmed (per 100k),327.77,24.79,0.08,5.92,5,2,7,0
"Bienville, Louisiana",Confirmed (per 100k),317.20,21.58,0.07,6.75,5,2,7,0
"Berks, Pennsylvania",Confirmed (per 100k),316.98,29.78,0.09,4.47,5,2,7,-1
"Muscatine, Iowa",Confirmed (per 100k),311.74,23.77,0.08,5.72,5,2,7,0
"Sussex, Delaware",Confirmed (per 100k),289.47,26.17,0.09,4.44,5,2,7,0
"Hartford, Connecticut",Confirmed (per 100k),288.21,21.23,0.07,6.18,5,2,7,0
"Prince George's, Maryland",Confirmed (per 100k),276.69,20.99,0.08,6.40,5,2,7,0
"Lackawanna, Pennsylvania",Confirmed (per 100k),251.34,18.12,0.07,6.69,5,2,7,0
"Lebanon, Pennsylvania",Confirmed (per 100k),246.13,18.44,0.07,6.04,5,2,7,0
"Lincoln, Mississippi",Confirmed (per 100k),237.17,14.64,0.06,5.41,5,2,7,0
"Middlesex, Connecticut",Confirmed (per 100k),233.32,18.03,0.08,6.00,5,2,7,0
"Washington, Oklahoma",Confirmed (per 100k),229.01,20.79,0.09,4.96,5,2,7,-1
"Smith, Mississippi",Confirmed (per 100k),226.19,17.05,0.08,5.23,5,2,7,0
"Johnson, Georgia",Confirmed (per 100k),217.77,20.74,0.10,5.24,5,2,7,-1
"Adams, Mississippi",Confirmed (per 100k),208.52,17.69,0.08,5.36,5,2,7,0
"Thomas, Georgia",Confirmed (per 100k),206.97,16.71,0.08,6.19,5,2,7,0
"Kankakee, Illinois",Confirmed (per 100k),205.71,17.55,0.09,6.20,5,2,7,0
"Lowndes, Alabama",Confirmed (per 100k),205.63,16.16,0.08,5.70,5,2,7,0
"Hopkins, Kentucky",Confirmed (per 100k),203.64,16.30,0.08,6.01,5,2,7,0
"Columbia, Pennsylvania",Confirmed (per 100k),201.65,18.25,0.09,5.02,5,2,7,-1
"Baldwin, Georgia",Confirmed (per 100k),200.49,13.68,0.07,4.59,5,2,7,-1
"Adams, Nebraska",Confirmed (per 100k),197.69,21.41,0.11,4.19,5,2,7,-1
"Marion, Alabama",Confirmed (per 100k),195.23,17.79,0.09,5.25,5,2,7,0
"Chickasaw, Mississippi",Confirmed (per 100k),192.95,14.20,0.07,6.42,5,2,7,1
"Kent, Delaware",Confirmed (per 100k),190.83,14.38,0.08,6.49,5,2,7,0
"Harrisonburg, Virginia",Confirmed (per 100k),190.51,18.32,0.10,4.48,5,2,7,-1
"Charles, Maryland",Confirmed (per 100k),189.88,13.65,0.07,6.84,5,2,7,0
"Juniata, Pennsylvania",Confirmed (per 100k),189.80,16.73,0.09,5.12,5,2,7,-1
"Calhoun, Mississippi",Confirmed (per 100k),188.01,14.92,0.08,5.19,5,2,7,0
"Mecklenburg, Virginia",Confirmed (per 100k),186.35,21.02,0.11,4.43,5,2,7,-1
"Montgomery, Maryland",Confirmed (per 100k),183.97,13.76,0.07,6.84,5,2,7,0
"Shelby, Texas",Confirmed (per 100k),182.01,15.26,0.08,5.17,5,2,7,0
"Suwannee, Florida",Confirmed (per 100k),180.11,13.83,0.08,6.64,5,2,7,1
"Baltimore City, Maryland",Confirmed (per 100k),178.60,12.11,0.07,6.95,5,2,7,1
"Coosa, Alabama",Confirmed (per 100k),178.19,12.06,0.07,6.81,5,2,7,0
"Decatur, Georgia",Confirmed (per 100k),178.00,14.07,0.08,5.83,5,2,7,1
"Leake, Mississippi",Confirmed (per 100k),175.55,10.66,0.06,6.74,5,2,7,0
"Frederick, Maryland",Confirmed (per 100k),170.30,15.96,0.09,5.11,5,2,7,0
"Franklin, Vermont",Confirmed (per 100k),170.03,14.75,0.09,5.50,5,2,7,-1
"Lyon, Kentucky",Confirmed (per 100k),158.34,13.92,0.09,4.67,5,2,7,-1
"Wilkinson, Georgia",Confirmed (per 100k),156.35,14.36,0.09,4.57,5,2,7,-1
"Washington, North Carolina",Confirmed (per 100k),155.44,13.57,0.09,5.70,5,2,7,-1
"Greene, New York",Confirmed (per 100k),154.70,12.72,0.08,4.30,5,2,7,1
"Jefferson, Florida",Confirmed (per 100k),154.43,9.03,0.06,5.11,5,2,7,-2
"Emporia, Virginia",Confirmed (per 100k),149.64,16.03,0.11,4.61,5,2,7,0
"Humphreys, Mississippi",Confirmed (per 100k),148.81,10.63,0.07,6.81,5,2,7,0
"Anne Arundel, Maryland",Confirmed (per 100k),145.88,10.19,0.07,6.87,5,2,7,0
"Butts, Georgia",Confirmed (per 100k),144.37,10.31,0.07,6.96,5,2,7,1
"Lapeer, Michigan",Confirmed (per 100k),142.68,9.95,0.07,7.00,5,2,7,0
"Monroe, Illinois",Confirmed (per 100k),141.47,14.85,0.10,4.73,5,2,7,-1
"McDuffie, Georgia",Confirmed (per 100k),140.77,11.40,0.08,5.76,5,2,7,0
"Cumberland, New Jersey",Confirmed (per 100k),140.44,12.42,0.09,5.17,5,2,7,0
"Stewart, Georgia",Confirmed (per 100k),135.93,10.79,0.08,5.47,5,2,7,0
"Brooks, Georgia",Confirmed (per 100k),135.86,12.94,0.10,5.79,5,2,7,0
"Salem, New Jersey",Confirmed (per 100k),134.65,9.62,0.07,5.93,5,2,7,0
"Genesee, New York",Confirmed (per 100k),132.68,10.72,0.08,6.93,5,2,7,0
"Mobile, Alabama",Confirmed (per 100k),132.62,10.65,0.08,5.85,5,2,7,0
"Pike, Georgia",Confirmed (per 100k),131.84,9.04,0.07,5.88,5,2,7,1
"Monroe, Mississippi",Confirmed (per 100k),130.49,8.10,0.06,6.93,5,2,7,0
"Charles City, Virginia",Confirmed (per 100k),129.25,10.26,0.08,6.86,5,2,7,0
"Manassas, Virginia",Confirmed (per 100k),129.00,10.08,0.08,5.19,5,2,7,0
"Buckingham, Virginia",Confirmed (per 100k),128.29,10.00,0.08,4.84,5,2,7,0
"Union, Indiana",Confirmed (per 100k),127.59,12.15,0.10,4.61,5,2,7,2
"Bradford, Florida",Confirmed (per 100k),124.11,10.13,0.08,5.57,5,2,7,-1
"Hale, Alabama",Confirmed (per 100k),122.86,9.75,0.08,5.12,5,2,7,-2
"Warren, New York",Confirmed (per 100k),120.42,10.28,0.09,4.63,5,2,7,2
"Neshoba, Mississippi",Confirmed (per 100k),120.20,10.79,0.09,5.19,5,2,7,-1
"Leavenworth, Kansas",Confirmed (per 100k),116.20,9.09,0.08,6.66,5,2,7,0
"Prince William, Virginia",Confirmed (per 100k),113.96,8.26,0.07,6.33,5,2,7,0
"Fairfax, Virginia",Confirmed (per 100k),113.11,8.40,0.07,6.18,5,2,7,0
"Wilkin, Minnesota",Confirmed (per 100k),112.78,11.51,0.10,5.33,5,2,7,-1
"Marshall, Iowa",Confirmed (per 100k),111.76,10.16,0.09,4.37,5,2,7,0
"Calvert, Maryland",Confirmed (per 100k),110.24,8.96,0.08,6.38,5,2,7,0
"Macon, Tennessee",Confirmed (per 100k),109.75,8.71,0.08,6.72,5,2,7,0
"Marshall, Alabama",Confirmed (per 100k),109.53,9.60,0.09,5.58,5,2,7,-1
"Lincoln, South Dakota",Confirmed (per 100k),106.33,6.54,0.06,6.88,5,2,7,0
"Clinch, Georgia",Confirmed (per 100k),105.77,6.48,0.06,5.88,5,2,7,2
"Macon, Alabama",Confirmed (per 100k),105.16,10.28,0.10,4.07,5,2,7,0
"Jewell, Kansas",Confirmed (per 100k),104.20,9.92,0.10,5.54,5,2,7,0
"Clinton, Illinois",Confirmed (per 100k),103.83,10.65,0.10,4.84,5,2,7,-1
"Garland, Arkansas",Confirmed (per 100k),103.64,8.05,0.08,6.26,5,2,7,0
"Covington, Mississippi",Confirmed (per 100k),101.95,6.13,0.06,6.41,5,2,7,0
"Labette, Kansas",Confirmed (per 100k),101.95,8.01,0.08,6.20,5,2,7,-1
"Christian, Kentucky",Confirmed (per 100k),100.76,7.50,0.07,6.39,5,2,7,0
"Susquehanna, Pennsylvania",Confirmed (per 100k),99.19,7.44,0.08,5.03,5,2,7,-1
"Nacogdoches, Texas",Confirmed (per 100k),98.15,7.67,0.08,4.85,5,2,7,0
"Rock Island, Illinois",Confirmed (per 100k),97.27,6.65,0.07,6.02,5,2,7,0
"Wilson, North Carolina",Confirmed (per 100k),96.58,6.64,0.07,6.82,5,2,7,0
"Jones, North Carolina",Confirmed (per 100k),95.55,7.58,0.08,4.64,5,2,7,-2
"Choctaw, Alabama",Confirmed (per 100k),95.32,6.81,0.07,6.35,5,2,7,0
"Cabarrus, North Carolina",Confirmed (per 100k),94.25,7.19,0.08,5.04,5,2,7,2
"Stephens, Georgia",Confirmed (per 100k),92.57,7.16,0.08,6.15,5,2,7,0
"Shiawassee, Michigan",Confirmed (per 100k),92.48,7.97,0.09,5.10,5,2,7,0
"Jasper, Mississippi",Confirmed (per 100k),91.56,8.72,0.10,5.05,5,2,7,-1
"Muscogee, Georgia",Confirmed (per 100k),90.41,8.90,0.10,4.80,5,2,7,-1
"Claiborne, Mississippi",Confirmed (per 100k),89.01,6.36,0.07,5.54,5,2,7,-2
"New London, Connecticut",Confirmed (per 100k),88.99,7.65,0.09,5.52,5,2,7,0
"Clarke, Alabama",Confirmed (per 100k),88.90,6.65,0.07,6.52,5,2,7,0
"Greene, Indiana",Confirmed (per 100k),87.71,6.27,0.07,5.64,5,2,7,1
"Cass, Indiana",Confirmed (per 100k),87.56,6.06,0.07,6.19,5,2,7,-1
"LaSalle, Louisiana",Confirmed (per 100k),87.30,6.72,0.08,6.88,5,2,7,0
"Moore, North Carolina",Confirmed (per 100k),87.23,9.06,0.10,5.10,5,2,7,-1
"St. Mary's, Maryland",Confirmed (per 100k),87.22,6.54,0.08,6.93,5,2,7,0
"St. Clair, Illinois",Confirmed (per 100k),86.64,7.04,0.08,6.13,5,2,7,0
"Belmont, Ohio",Confirmed (per 100k),86.56,6.82,0.08,6.51,5,2,7,0
"Winn, Louisiana",Confirmed (per 100k),86.31,9.25,0.11,4.65,5,2,7,-2
"Henderson, North Carolina",Confirmed (per 100k),84.31,5.84,0.07,6.93,5,2,7,2
"Franklin, Missouri",Confirmed (per 100k),83.68,7.15,0.09,6.26,5,2,7,0
"Richmond, Georgia",Confirmed (per 100k),82.96,6.21,0.07,6.28,5,2,7,0
"Dodge, Georgia",Confirmed (per 100k),82.50,6.24,0.08,5.81,5,2,7,2
"Clinton, Iowa",Confirmed (per 100k),81.85,5.85,0.07,6.58,5,2,7,2
"Orleans, New York",Confirmed (per 100k),81.78,5.66,0.07,6.93,5,2,7,2
"Rockingham, Virginia",Confirmed (per 100k),81.76,6.97,0.09,4.24,5,2,7,1
"Henry, Alabama",Confirmed (per 100k),81.37,8.30,0.10,4.50,5,2,7,0
"Bibb, Alabama",Confirmed (per 100k),80.38,5.74,0.07,6.73,5,2,7,0
"Manassas Park, Virginia",Confirmed (per 100k),80.10,7.36,0.09,4.27,5,2,7,1
"Caldwell, Kentucky",Confirmed (per 100k),78.45,7.84,0.10,4.40,5,2,7,-1
"Calhoun, Michigan",Confirmed (per 100k),77.52,5.00,0.06,6.89,5,2,7,2
"Montgomery, Alabama",Confirmed (per 100k),76.83,5.49,0.07,5.81,5,2,7,2
"Windham, Connecticut",Confirmed (per 100k),76.21,5.38,0.07,6.83,5,2,7,2
"Appling, Georgia",Confirmed (per 100k),76.14,5.44,0.07,5.79,5,2,7,2
"Lamar, Mississippi",Confirmed (per 100k),75.78,6.31,0.08,5.04,5,2,7,1
"Waldo, Maine",Confirmed (per 100k),75.54,8.63,0.11,4.00,5,2,7,-2
"Columbus, North Carolina",Confirmed (per 100k),72.06,6.18,0.09,5.13,5,2,7,-1
"Wayne, North Carolina",Confirmed (per 100k),70.66,5.34,0.08,5.99,5,2,7,-1
"Racine, Wisconsin",Confirmed (per 100k),70.30,5.02,0.07,6.92,5,2,7,2
"Rutherford, North Carolina",Confirmed (per 100k),70.12,5.12,0.07,6.75,5,2,7,2
"Edgecombe, North Carolina",Confirmed (per 100k),69.94,5.55,0.08,4.74,5,2,7,-1
"Webster, Kentucky",Confirmed (per 100k),69.54,5.52,0.08,5.75,5,2,7,0
"Telfair, Georgia",Confirmed (per 100k),69.36,6.31,0.09,5.39,5,2,7,1
"Chicot, Arkansas",Confirmed (per 100k),69.18,7.06,0.10,4.08,5,2,7,1
"Jackson, Illinois",Confirmed (per 100k),68.72,5.54,0.08,6.07,5,2,7,1
"Scott, Missouri",Confirmed (per 100k),67.92,5.60,0.08,4.87,5,2,7,1
"Dunn, North Dakota",Confirmed (per 100k),67.81,6.46,0.10,4.50,5,2,7,1
"Clay, Minnesota",Confirmed (per 100k),66.96,5.12,0.08,6.37,5,2,7,1
"Douglas, Washington",Confirmed (per 100k),66.78,5.26,0.08,4.45,5,2,7,2
"Screven, Georgia",Confirmed (per 100k),64.44,6.14,0.10,4.38,5,2,7,-1
"Wyandot, Ohio",Confirmed (per 100k),64.30,5.25,0.08,5.54,5,2,7,1
"Henderson, Kentucky",Confirmed (per 100k),64.15,7.27,0.11,4.10,5,2,7,-2
"Kenton, Kentucky",Confirmed (per 100k),63.47,5.39,0.08,4.92,5,2,7,1
"Hampton, South Carolina",Confirmed (per 100k),62.43,5.20,0.08,4.40,5,2,7,1
"Jones, Mississippi",Confirmed (per 100k),61.68,5.45,0.09,4.95,5,2,7,1
"Scotland, Missouri",Confirmed (per 100k),61.20,5.83,0.10,5.19,5,2,7,-2
